Speaker,Gender,Word,f0,F1,F2,F3,Duration,HasSuffix,FollowingPlace,IsSuffixBack,PrecedingPlace
1,female,ich,227.7336486,385.0288735,2375.517421,2953.650297,0.032143289,TRUE,palatal,0,n/a
1,female,ich,205.0399435,373.9680773,2199.5454,3123.055035,0.128573156,FALSE,palatal,0,n/a
10,female,ich,256.5578583,374.7236532,2706.898424,3151.233169,0.040003379,TRUE,palatal,0,n/a
10,female,ich,172.2572266,373.6202589,2657.1708,3042.816532,0.046937192,FALSE,palatal,0,n/a
11,male,ich,116.6883562,260.035564,1569.429045,2029.484126,0.148383484,FALSE,palatal,1,n/a
11,male,ich,120.0032444,279.760523,1922.511449,1993.214905,0.216324306,TRUE,palatal,1,n/a
12,male,ich,--undefined--,395.7526121,1905.354293,2518.515938,0.043242863,FALSE,palatal,1,n/a
13,male,ich,105.9291495,341.5504206,2328.449198,2754.25159,0.074348894,FALSE,palatal,1,n/a
14,female,ich,202.4832695,329.5221488,2537.245339,3370.198393,0.07115823,FALSE,palatal,0,n/a
15,male,ich,143.547872,293.3825081,2227.304283,3119.761504,0.096101816,FALSE,palatal,1,n/a
16,male,ich,128.2842446,330.7497275,2325.286849,2937.154816,0.098512186,FALSE,palatal,0,n/a
17,female,ich,236.6858552,302.292761,2727.658982,3235.61825,0.079885635,FALSE,palatal,1,n/a
18,female,ich,174.8645466,398.0534479,2994.91543,3355.036673,0.072931606,FALSE,palatal,1,n/a
18,female,ich,--undefined--,324.6041997,1597.485635,2792.46532,0.053296173,TRUE,palatal,1,n/a
19,female,ich,209.6615738,304.8788392,2736.649276,3467.803641,0.075385878,FALSE,palatal,0,n/a
2,female,ich,--undefined--,339.1104144,1776.682507,2620.261263,0.063192272,TRUE,palatal,0,n/a
2,female,ich,187.6169561,344.7267167,2534.610117,3335.162576,0.076855466,FALSE,palatal,0,n/a
20,female,ich,--undefined--,352.770362,2356.011299,2872.861168,0.030510726,TRUE,palatal,1,n/a
21,female,ich,--undefined--,322.4455814,2537.042138,2988.408861,0.079384219,FALSE,palatal,0,n/a
21,female,ich,221.9219336,328.5923607,2285.519429,2715.440612,0.104217961,TRUE,palatal,0,n/a
22,female,ich,264.4612261,516.6239195,2871.257567,2944.599322,0.114296456,FALSE,palatal,1,n/a
22,female,ich,--undefined--,353.4895346,2744.556371,3571.945242,0.046030328,TRUE,palatal,1,n/a
23,female,ich,--undefined--,309.418839,2634.153135,3406.22397,0.055680251,FALSE,palatal,0,n/a
